,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,"a rectangular floor that measures 15 meters by 18 meters is to be covered with carpet squares that each measure 3 meters by 3 meters . if the carpet squares cost $ 12 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?",c,geometry, $ 200 , $ 240 , $ 360 , $ 960 , $ 1
1,"d and e are two points respectively on sides ab and ac of triangle abc such that de is parallel to bc . if the ratio of area of triangle ade to that of the trapezium decb is 144 : 25 and bc = 13 cm , then find the length of de .",c,geometry, 12 , 13 , 14 , 11 , 15 
2,"the perimeter of an equilateral triangle is 60 . if one of the sides of the equilateral triangle is the side of an isosceles triangle of perimeter 45 , then how long is the base of isosceles triangle ?",a,geometry, 5 units , 10 units , 15 units , 20 units , 25 units 
3,"a small table has a length of 12 inches and a breadth of b inches . cubes are placed on the surface of the table so as to cover the entire surface . the maximum side of such cubes is found to be 4 inches . also , a few such tables are arranged to form a square . the minimum length of side possible for such a square is 80 inches . find b .",b,geometry, 8', 16', 24', 32', 48'] 
4,a right triangle is inscribed in a circle . the legs of the triangle have lengths 6 and 8 . what is the diameter of the circle ?,d,geometry, 8', 8 π', 9 √ 3', 10', 12'] 
5,"four equal circles are described about the four corners of a square so that each touches two of the others . if a side of the square is 14 cm , then the area enclosed between the circumferences of the circles is :",b,geometry, 24 cm 2', 42 cm 2', 154 cm 2', 196 cm 2', none of these'] 
6,"george ' s car calls for 8 ounces of oil for each cylinder used . his car ' s engine has 6 cylinders . if 16 ounces of oil has already been put into the engine used , then how many additional ounces of oil are needed ?",d,geometry, 16', 48', 64', 32', 8'] 
7,what is the area of square field whose side of length 13 m ?,a,geometry, 169 , 196 , 266 , 288 , 261 
8,"a metallic sheet is of rectangular shape with dimensions 50 m x 30 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 5 m , the volume of the box ( in m cube ) is :",e,geometry, 4120 m cube , 4140 m cube , 5140 m cube , 5120 m cube , none of these 
9,the number 219 can be written as sum of the squares of 3 different positive integers . what is the sum of these 3 different integers ?,b,geometry, 20 , 21 , 19 , 17 , 15 
10,"eight cubes , each with a volume of 512 cm ^ 3 , are joined to form one large cube . what is the surface area of the large cube ?",b,geometry, 4096 sq cm', 1536 sq cm', 1024 sq cm', 2048 sq cm', 512 sq cm'] 
11,"the length of a rectangle is twice its breadth . if its lengthis decreased by 5 cm & breadth is increased by 5 cm , the area of the rectangle is increased by 75 sq . cm . what is the length of the rectangle ?",c,geometry, 25 cm , 30 cm , 40 cm , 45 cm , 60 cm 
12,"a cube of edge 12 cm is immersed completely in a rectangular vessel containing water . if the dimensions of the base of vessel are 20 cm * 15 cm , find the rise in water level ?",a,geometry, 5.76 cm , 8.25 cm , 11.25 cm , 15.12 cm , 20.62 cm 
13,the radius of a cylindrical vessel is 9 cm and height is 3 cm . find the whole surface of the cylinder ?,e,geometry, 308 sq cm , 220 sq cm , 440 sq cm , 132 sq cm , 678.8 sq cm 
14,"a rectangular floor that measures 24 meters by 64 meters is to be covered with carpet squares that each measure 8 meters by 8 meters . if the carpet squares cost $ 24 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?",b,geometry, $ 200', $ 576', $ 480', $ 960', $ 1
15,"abcd is a square . e and f are the midpoints of sides cd and bc , respectively . what is the ratio of the shaded region area to the unshaded region ?",d,geometry, 1 : 1', 2 : 1', 3 : 1', 5 : 3', 8 : 3'] 
16,"a rectangular lawn of dimensions 80 m * 40 m has two roads each 10 m wide running in the middle of the lawn , one parallel to the length and the other parallel to the breadth . what is the cost of traveling the two roads at rs . 3 per sq m ?",c,geometry, 2288 , 2779 , 3300 , 3900 , 2781 
17,"can c and can в are both right circular cylinders . the radius of can c is twice the radius of can b , while the height of can c is half the height of can b . if it costs $ 4.00 to fill half of can b with a certain brand of gasoline , how much would it cost to completely fill can c with the same brand of gasoline ?",e,geometry, $ 1 , $ 2 , $ 4 , $ 8 , $ 16 
18,"if the sides of a square are multiplied by 5 , the area of the original square is how many times as large as the area of the resultant square ?",a,geometry, 4 % , 25 % , 50 % , 200 % , 400 % 
19,a cubical block of metal weighs 8 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?,e,geometry, 48 , 32 , 24 , 18 , 64 
20,"if the area of a circle is 25 pi square feet , find its circumference .",a,geometry, 10 pi feet , 28 pi feet , 38 pi feet , 48 pi feet , 58 pi feet 
21,"the sides of a square region , measured to the nearest centimeter , are 9 centimeters long . the least possible value of the actual area of the square region is",c,geometry, 60.25 sq cm , 66.25 sq cm , 56.25 sq cm , 72.25 sq cm , 58.25 sq cm 
22,the area of a rhombus is equal to the area of a square whose side length is 8 cm . if one of the diagonals is 16 cm what is the length of other diagonal ?,b,geometry, 4', 8', 12', 16', 20'] 
23,cuboid volume and base area are 144 m ^ 3 and 18 m ^ 3 respectively . find the height of a cuboid ?,d,geometry, 5 m', 12 m', 6 m', 8 m', 10 m'] 
24,"if anangletis defined as 1 percent of 1 degree , then how many anglets are there in one half circle ?",d,geometry, 0.36 , 3.6 , 360 , 18, 36
25,"an iron cube of side 10 cm is hammered into a rectangular sheet of thickness 0.5 cm . if the sides of the sheet are in the ratio 1 : 5 , the sides are :",a,geometry, 10 cm 20 cm', 2 cm 10 cm', 100 cm 20 cm', 30 cm 100 cm', none'] 
26,a cubical block of metal weighs 4 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?,b,geometry, 48 , 32 , 24 , 18 , 12 
27,"if the length of the sides of two cubes are in the ratio 4 : 1 , what is the ratio of their total surface area ?",d,geometry, 4 : 1', 6 : 1', 8 : 1', 16 : 1', 64 : 1'] 
28,a rectangular swimming pool is 8 feet by 20 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 540 square feet . what is the width of the deck ?,e,geometry, 1 , 2 , 3 , 4 , 5 
29,"a rectangular grass field is 85 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?",a,geometry, 1450 , 1971 , 9676 , 1679 , 2691 
30,the diagonal of a rhombus are 25 m and 50 m . its area is :,d,geometry, 900 , 800 , 700 , 625 , 650 
31,what is the angle between the hands of a clock when time is 10 : 20 ?,a,geometry, 90 deg , 75 deg , 45 deg , 15 deg , 30 deg 
32,the diameter of a cylindrical tin is 14 cm and height is 5 cm . find the volume of the cylinder ?,d,geometry, 230 , 141 , 66 , 245 , 21 
33,the ratio of the volumes of two cubes is 125 : 216 . what is the ratio of their total surface areas ?,a,geometry, 13 : 18 , 8 : 12 , 1 : 12 , 8 : 17 , 1 : 11 
34,the water level in a rectangular swimming pool measuring 40 feet by 25 feet is to be lowered by 6 inches . how many gallons of water must be removed ? ( 1 cu ft = 7.5 gallons ),d,geometry, 100 , 250 , 750 , 3750 , 5625 
35,the volume of a cube is 1728 cc . find its surface .,a,geometry, 864 , 556 , 255 , 287 , 267 
36,"the length of rectangle is thrice its breadth and its perimeter is 40 m , find the area of the rectangle ?",c,geometry, 432 , 212 , 75 , 992 , 212 
37,a 25 cm wide path is to be made around a circular garden having a diameter of 4 meters . approximate area of the path is square meters is ?,a,geometry, 3.34 sq m , 98.8 sq m , 67.8 sq m , 27.9 sq m , 19.9 sq m 
