,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?,a,physics, 3 , 4 , 5 , 6 , 7 
1,"a train 125 m long passes a man , running at 15 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is ?",a,physics, 60 , 50 , 28 , 26 , 29 
2,kim finds a 5 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,d,physics, 8 / 15 , 1 / 2 , 7 / 5 , 3 / 5 , 7 / 5 
3,"a garrison of 2000 men has provisions for 54 days . at the end of 15 days , a reinforcement arrives , and it is now found that the provisions will last only for 20 days more . what is the reinforcement ?",d,physics, 1778 , 1682 , 9178 , 1900 , 1782 
4,how many seconds will a 900 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?,c,physics, 48 , 36 , 54 , 11 , 18 
5,"a car gets 27 miles to the gallon . if it is modified to use a solar panel , it will use only 75 percent as much fuel as it does now . if the fuel tank holds 14 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?",b,physics, 120 , 126 , 132 , 138 , 144 
6,"a fort had provision of food for 150 men for 45 days . after 10 days , 25 men left the fort . the number of days for which the remaining food will last , is :",c,physics, 34 , 387 , 42 , 28 , 71 
7,a car travels at a speed of 65 miles per hour . how far will it travel in 6 hours ?,c,physics, 125 miles , 225 miles , 390 miles , 425 miles , 525 miles 
8,a man swims downstream 96 km and upstream 40 km taking 8 hours each time ; what is the speed of the current ?,a,physics, 3.5 kmph , 1.5 kmph , 13 kmph , 6.5 kmph , 7 : 3 kmph 
9,vinoth can complete a painting work in 20 days . prakash can do the same work in 25 days . they start the work together but vinoth quit after 3 days of work . how many days are required to complete the remaining painting work by prakash .,d,physics, 15.25 days , 16.25 days , 17.25 days , 18.25 days , 19.25 days 
10,"working alone at its constant rate , machine a produces x boxes in 10 minutes and working alone at its constant rate , machine b produces 2 x boxes in 5 minutes . how many minutes does it take machines a and b , working simultaneously at their respective constant rates , to produce 10 x boxes ?",e,physics, 13 minutes , 14 minutes , 15 minutes , 16 minutes , 20 minutes 
11,"an electric pump can fill a tank in 10 hours . because of a leak in the tank , it took 20 hours to fill the tank . if the tank is full , how much time will the leak take to empty it ?",c,physics, 10 hours , 12 hours , 20 hours , 5 hours , 15 hours 
12,"pipe a can fill a tank in 10 hours . due to a leak at the bottom , it takes 15 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?",e,physics, 76 , 84 , 56 , 75 , 30 
13,5 women can do a work in two days . 10 men can complete the same work in five days . what is the ratio between the capacity of a man and a woman ?,b,physics, 1 : 2 , 1 : 5 , 2 : 3 , 3 : 2 , none of these 
14,"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 7420 , what is the length of the plot in metres ?",e,physics, 20 , 200 , 300 , 400 , 80 
15,30 men can do a work in 40 days . when should 12 men leave the work so that the entire work is completed in 40 days after they leave the work ?,a,physics, 18 days , 10 days , 55 days , 44 days , 22 days 
16,a train 110 m long is running with a speed of 30 km / h . in how many seconds will the train pass a man who is running at 3 km / h in the direction opposite to that in which the train is going ?,d,physics, 6 , 8 , 10 , 12 , 14 
17,"two trains 110 meters and 200 meters in length respectively are running in opposite directions , one at the rate of 80 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?",b,physics, 4.85 , 7.69 , 6.85 , 5.85 , 6.15 
18,in filling a room with gas 100 m * 10 m * 10 m the volumes of gas will be ?,c,physics, 100 cu . m', 1000 cu . m', 10000 cu . m', 100000 cu . m', 10000000 cu . m'] 
19,a train passes a station platform in 30 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?,e,physics, 227 , 240 , 200 , 178 , 270 
20,"what will be the lcm of 8 , 24 , 36 and 54",c,physics, 54 , 108 , 216 , 432 , none of these 
21,"two trains of equal lengths take 10 sec and 14 sec respectively to cross a telegraph post . if the length of each train be 120 m , in what time will they cross other travelling in opposite direction ?",d,physics, 10 , 12 , 13 , 11.7 , 15 
22,the sum of two consecutive integers is 41 . find the numbers .,d,physics, 17 , 7 , 5 , 20, 8 
23,calculate the circumference of a circular field whose radius is 10 centimeters .,a,physics, 20 π cm , 19 π cm , 28 π cm , 25 π cm , 30 π cm 
24,"two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively . if they cross each other in 24 seconds , what is the ratio of their speeds ?",c,physics, 1 : 3 , 3 : 1 , 7 : 3 , 3 : 2 , 3 : 4 
25,"at sandi ’ s pet shop , 25 cups of bird seed are used every 5 days to feed 15 parakeets . how many cups of bird seed would be required to feed 14 parakeets for 7 days ?",b,physics, 40.5 , 32.34 , 6.23 , 9 , 15 
26,"one pump drains one - half of a pond in 2 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?",a,physics, 1.3 hour , 1.2 hour , 3 hours , 5 hours , 6 hours 
27,a and b go around a circular track of length 300 m on a cycle at speeds of 34 kmph and 50 kmph . after how much time will they meet for the first time at the starting point ?,b,physics, 120 sec , 60 sec , 186 sec , 167 sec , 168 sec 
28,the speed of a car is 120 km in the first hour and 70 km in the second hour . what is the average speed of the car ?,c,physics, 72 kmph , 75 kmph , 95 kmph , 80 kmph , 82 kmph 
29,"a cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 6 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?",d,physics, 17.5 , 7.4 , 7.9 , 12.0 , 7.1 
30,a runs twice as fast as b and gives b a start of 42 m . how long should the racecourse be so that a and b might reach in the same time ?,c,physics, 75 m . , 80 m . , 84 m . , 100 m . , none of the above 
31,"a , b , c can complete a piece of work in 18 , 6,12 days . working together , they complete the same work in how many days ?",d,physics, 2 , 4 / 5 , 7 / 9 , 36 / 11 , 24 / 7 
32,"if the horse can run 10 miles / hour , how many days would it take for a horse to run from new york city to washington . d . c . ? ( 240 miles from nyc to d . c . )",c,physics, 0.6 , 0.8 , 1 , 1.2 , 1.4 
33,express a speed of 56 kmph in meters per second ?,d,physics, 10.56 mps , 17.56 mps , 97.56 mps , 15.56 mps , 18.56 mps 
34,"a group of men decided to do a work in 12 days , but 6 of them became absent . if the rest of the group did the work in 14 days , find the original number of men ?",b,physics, 15 , 42 , 44 , 45 , 18 
35,"a rectangular plot measuring 90 metres by 50 metres is to be enclosed by wire fencing . if the poles of the fence are kept 5 metres apart , how many poles will be needed ?",b,physics, 55 , 56 , 57 , 58 , none of these 
36,"the hiker walking at a constant rate of 6 miles per hour is passed by a motor - cyclist traveling in the same direction along the same path at 30 miles per hour . the motor - cyclist stops to wait for the hiker 12 minutes after passing her , while the hiker continues to walk at her constant rate , how many minutes must the motor - cyclist wait until the hiker catches up ?",d,physics, 30 , 36 , 40 , 48 , 60 
37,"the speed at which a man can row a boat in still water is 15 kmph . if he rows downstream , where the speed of current is 3 kmph , what time will he take to cover 90 metres ?",e,physics, 16 seconds , 76 seconds , 26 seconds , 12 seconds , 18 seconds 
38,"a train consists of 12 boggies , each boggy 15 metres long . the train crosses a telegraph post in 9 seconds . due to some problem , one boggies were detached . the train now crosses a telegraph post in",d,physics, 18 sec , 12 sec , 15 sec , 8.25 sec , none of these 
39,"a train leaves delhi at 7 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 40 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?",b,physics, 229 , 840 , 600 , 888 , 121 
40,"pipe p can fill a tank in 8 hours , pipe q in 12 hours and pipe r in 20 hours . if all the pipes are open , in how many hours will the tank be filled ?",c,physics, 2 hours , 2.4 hours , 3.8 hours , 3.5 hours , 4.5 hours 
41,"two cars are driving toward each other . the first car is traveling at a speed of 100 km / h , which is 20 % slower than the second car ' s speed . if the distance between the cars is 1125 km , how many hours will it take until the two cars meet ?",d,physics, 4 , 4.5 , 4.8 , 5 , 5.5 
42,a train 140 m long running at 84 kmph crosses a platform in 16 sec . what is the length of the platform ?,c,physics, 287 , 298 , 233 , 726 , 267 
43,"by travelling at 70 kmph , a person reaches his destination on time . he covered two - third the total distance in one - third of the total time . what speed should he maintain for the remaining distance to reach his destination on time ?",d,physics, 25 kmph , 20 kmph , 28 kmph , 35 kmph , 32 kmph 
44,a train passes a station platform in 36 sec and a man standing on the platform in 20 sec . if the speed of the train is 63 km / hr . what is the length of the platform ?,e,physics, 240 , 288 , 277 , 226 , 280 
45,the minute hand of a clock overtakes the hour hand at intervals of 65 minutes of correct time . how much does the clock gain or lose in 12 hours ?,a,physics, 27.273 seconds , 29.273 seconds , 37.273 seconds , 47.273 seconds , 17.273 seconds 
46,"a tank can supply water to a village for 20 days . if a leak at the bottom of the tank drains out 10 liters per day , the supply lasts for 15 days only . for how many days will the supply last if the leak drains out 20 liters per day ?",d,physics, 9 , 10 , 11 , 12 , 14 
47,"31 of the scientists that attended a certain workshop were wolf prize laureates , and 14 of these 31 were also nobel prize laureates . of the scientists that attended that workshop and had not received the wolf prize , the number of scientists that had received the nobel prize was 3 greater than the number of scientists that had not received the nobel prize . if 50 of the scientists attended that workshop , how many of them were nobel prize laureates ?",c,physics, a ) 11 , b ) 18 , c ) 25 , d ) 29 , d ) 36 
48,15 men can complete a piece of work in 25 days . in how many days can 20 men complete that piece of work ?,b,physics, 55 days , 18.75 days , 20 days , 88 days , 44 days 
49,a 300 metre long train crosses a platform in 39 seconds while it crosses a post in 18 seconds . what is the length of the platform ?,b,physics, 150 m , 350 m , 420 m , 600 m , 700 m 
50,"39 persons can repair a road in 24 days , working 5 hours a day . in how many days will 30 persons , working 6 hours a day , complete the work ?",e,physics, 10 , 13 , 14 , 15 , 26 
51,two boats are heading towards each other at constant speeds of 4 miles / hr and 20 miles / hr respectively . they begin at a distance 20 miles from each other . how far are they ( in miles ) one minute before they collide ?,b,physics, 1 / 12 , 6 / 15 , 1 / 6 , 1 / 3 , 1 / 5 
52,"a honey bee flies for 10 seconds , from a daisy to a rose . it immediately continues to a poppy , flying for 6 additional seconds . the distance the bee passed , flying from the daisy to the rose is 6 meters longer than the distance it passed flying from the rose to the poppy . the bee flies to the poppy at 3 meters per second faster than her speed flying to the rose . the bee flies how many meters per second from the daisy to the rose ?",a,physics, 3 , 5 , 6 , 8 , 10 
53,"there is enough provisions for 1200 girls in a hostel for 50 days . if there were 600 girls less , how long will the provision last ?",e,physics, 75 , 80 , 90 , 95 , 100 
54,"a boat can travel with a speed of 13 km / hr in still water . if the speed of the stream is 5 km / hr , find the time taken by the boat to go 70 km downstream .",b,physics, 4.25 hr , 3.8 hr , 8.25 hr , 2.25 hr , 2.50 hr 
55,"a and b undertake to do a piece of work for rs . 600 . a alone can do it in 6 days while b alone can do it in 8 days . with the help of c , they finish it in 3 days . ! find the share of each .",c,physics, 25 , 50 , 75 , 80 , none of them 
56,"the edges of three metal cubes are 1 cm , 3 cm , and 4 cm respectively . a new cube is made by melting these three cubes together . what is the edge of the new cube ( in centimeters ) ?",c,physics, 3.9 , 4.2 , 4.5 , 4.8 , 5.1 
57,car a runs at the speed of 50 km / hr & reaches its destination in 6 hr . car b runs at the speed of 100 km / h & reaches its destination in 1 h . what is the respective ratio of distances covered by car a & car b ?,b,physics, 11 : 5 , 3 : 1 , 13 : 7 , 15 : 7 , 16 : 9 
58,how many pieces of 0.85 meteres can be cut from a rod 42.5 meteres long,c,physics, 30 , 40 , 50 , 60 , 70 
59,"in what time will a train 400 m long cross an electric pole , it its speed be 144 km / hr ?",e,physics, 2.5 sec , 12.9 sec , 11.3 sec , 21.9 sec , 10.0 sec 
60,"excluding stoppages , the speed of a train is 67 kmph and including stoppages it is 51 kmph . of how many minutes does the train stop per hour ?",c,physics, 82 , 17 , 14 , 82 , 18 
61,"if jack walked 4 miles in 1 hour and 15 minutes , what was his rate of walking in miles per hour ?",a,physics, 3.2 , 4.5 , 6 , 6.25 , 15 
62,"yesterday it took robert 6 hours to drive from city a to city b . today it took robert 4.5 hours to drive back from city в to city a along the same route . if he had saved 30 minutes in both trips , the speed for the round trip would be 90 miles per hour . what is the distance between city a and city b ?",e,physics, 90 , 120 , 150 , 440 , 430 
63,how many seconds will a train 110 meters long take to cross a railway platform 165 meters long if the speed of the train is 132 kmph ?,b,physics, 6 sec , 7.5 sec , 8 sec , 3 sec , 10 sec 
64,2 trains starting at the same time from 2 stations 200 km apart and going in opposite direction cross each other at a distance of 110 km from one of the stations . what is the ratio of their speeds,a,physics, 11 : 9 , 13 : 9 , 17 : 9 , 21 : 9 , none of these 
65,a work can be finished in 13 days by ten women . the same work can be finished in fifteen days by ten men . the ratio between the capacity of a man and a woman is,b,physics, 14 : 13 , 13 : 15 , 12 : 13 , 13 : 12 , 14 : 15 
66,a train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds . its length is,d,physics, 100 , 120 , 130 , 150 , 140 
67,"the population of a bacteria colony doubles every day . if it was started 3 days ago with 3 bacteria and each bacteria lives for 12 days , how large is the colony today ?",b,physics, 512 , 1024 , 768 , 2048 , 4096 
68,"the h . c . f of two numbers is 15 and their l . c . m is 3300 . if one of the numbers is 225 , then the other is ?",c,physics, 200 , 210 , 220 , 230 , 240 
69,"in a kilometer race , a beats b by 20 meters or 10 seconds . what time does a take to complete the race ?",e,physics, 290 sec , 190 sec , 199 sec , 192 sec , 490 sec 
70,a car consumes 210 liters of petrol weekly . for how many days will 1470 liters of petrol be sufficient ?,d,physics, 38 , 20 , 28 , 49 , 10 
71,the sum of two consecutive integers is 61 . find the numbers .,b,physics, 17 , 30, 5 , 1 , 8 
72,the speed of a car is 80 km in the first hour and 40 km in the second hour . what is the average speed of the car ?,b,physics, 72 kmph , 60 kmph , 30 kmph , 80 kmph , 82 kmph 
73,two trains 200 m and 250 m long run at the speed of 72 kmph and 18 kmph in opposite directions in parallel tracks . the time which they take to cross each other is ?,e,physics, 5.6 sec , 8.9 sec , 10.8 sec , 12.6 sec , 18 sec 
74,"a cistern is filled by a tap in 4 1 / 2 hours . due to leak in the bottom of the cistern , it takes half an hour longer to fill the cistern . if the cistern is full how many hours will it take the leak to empty it ?",d,physics, 30 , 36 , 42 , 45 , 48 
75,two trains 140 m and 210 m long run at the speed of 60 km / hr and 40 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,a,physics, 12.6 sec , 10.1 sec , 10.6 sec , 10.8 sec , 10.2 sec 
76,"a man rows his boat 84 km downstream and 60 km upstream , taking 4 hours each time . find the speed of the stream ?",e,physics, 76 kmph , 6 kmph , 14 kmph , 8 kmph , 3 kmph 
77,"a train is moving at a speed of 132 km / hour . if the length of the train is 110 meters , how long will it take to cross a railway platform 165 meters long .",b,physics, 7 second , 7.5 second , 8 second , 8.5 second , none of these 
78,"10 machines , each working at the same constant rate , together can complete a certain job in 12 days . how many additional machines , each working at the same constant rate , will be needed to complete the job in 8 days ?",d,physics, 2 , 3 , 4 , 5 , 8 
79,"a water tank is one - fifth full . pipe a can fill a tank in 10 minutes and pipe b can empty it in 6 minutes . if both the pipes are open , how many minutes will it take to empty or fill the tank completely ?",a,physics, 3 , 6 , 9 , 12 , 15 
80,a woman complete a journey in 10 hours . she travels first half of the journey at the rate of 21 km / hr and second half at the rate of 24 km / hr . find the total journey in km .,d,physics, 334 km . , 216 km . , 314 km . , 224 km . , 544 km . 
81,the speed of a train is 80 kmph . what is the distance covered by it in 6 minutes ?,d,physics, 15 kmph , 11 kmph , 18 kmph , 8 kmph , 12 kmph 
82,ram covers a part of the journey at 20 kmph and the balance at 70 kmph taking total of 8 hours to cover the distance of 400 km . how many hours has been driving at 20 kmph ?,a,physics, 3.2 hr , 3.4 hr , 3.6 hr , 3.8 hr , 4.2 hr 
83,"in one hour , a boat goes 13 km along the stream and 9 km against the stream . the speed of the boat in still water ( in km / hr ) is :",c,physics, 3 , 5 , 11 , 9 , 10 
84,"if 5 spiders make 2 webs in 8 days , then how many days are needed for 1 spider to make 1 web ?",d,physics, 10 , 15 , 30 , 20 , 16 
85,"audrey 4 hours to complete a certain job . ferris can do the same job in 3 hours . audrey and ferris decided to collaborate on the job , working at their respective rates . while audrey worked continuously , ferris took 6 breaks of equal length . if the two completed the job together in 2 hours , how many minutes long was each of ferris ’ breaks ?",b,physics, 2 , 5 , 15 , 20 , 25 
86,"a can do a work in 6 days , b can do a work in 8 days and c can do it in 12 days . b left work after 6 days . for how many number of days should a and c should work together to complete the remaining work ?",a,physics, 1 , 2 , 3 , 4 , 5 
87,15 : 5 seconds : : ? : 10 minutes,c,physics, 10 , 15 , 30 , 25 , 30 
88,a train 75 m long takes 6 sec to cross a man walking at 5 kmph in a direction opposite to that of the train . find the speed of the train ?,b,physics, 35 kmph , 40 kmph , 45 kmph , 50 kmph , 55 kmph 
89,"two trains , each 100 m long , moving in opposite directions , cross other in 5 sec . if one is moving twice as fast the other , then the speed of the faster train is ?",d,physics, 26 km / hr , 17 km / hr , 60 km / hr , 42 km / hr , 46 km / hr 
90,"the consumption of diesel per hour of a bus varies directly as square of its speed . when the bus is travelling at 60 kmph its consumption is 1 litre per hour . if each litre costs $ 60 and other expenses per hous is $ 60 , then what would be the minimum expenditure required to cover a distance of 600 km ?",c,physics, 120 , 1250 , 1200 , 1100 , 1150 
91,"bob wants to run a mile in the same time as his sister . if bob ’ s time for a mile is currently 10 minutes 40 seconds and his sister ’ s time is currently 10 minutes 8 seconds , by what percent does bob need to improve his time in order run a mile in the same time as his sister ?",b,physics, 3 % , 5 % , 8 % , 10 % , 12 % 
92,"bella is taking a trip in her car from new york ( point a ) chicago , illinois ( point b ) . she is traveling at an average speed of 50 miles per hour , if the total distance from point a to point b is 790 miles , in approximately how long will bella reach her destination ?",c,physics, 10 hours , 12.50 hours , 15.80 hours , 25 hours , 1 day 
93,"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of 14 kmph and 21 kmph respectively . when they meet , it is found that one train has traveled 60 km more than the other one . the distance between the two stations is ?",b,physics, 477 , 420 , 279 , 276 , 291 
94,p can do a work in 24 days . q can do the samework in 9 days & r can do the same work in 12 days . q & r start the work and leave after 3 days . p finishes the remaining work in how many days .,b,physics, 8 , 10 , 14 , 16 , 19 
95,a can do a particular work in 6 days . b can do the same work in 8 days . a and b signed to do it for rs . 3840 . they completed the work in 3 days with the help of c . how much is to be paid to c ?,e,physics, s . 380 , s . 600 , s . 420 , s . 400 , s . 480 
96,"in how many seconds will a train 150 meters long pass an oak tree , if the speed of the train is 54 km / hr ?",c,physics, 6 , 8 , 10 , 12 , 14 
97,the length of minute hand of a clock is 5.4 cm . what is the area covered by this in 10 minutes,a,physics, 15.27 , 16.27 , 17.27 , 18.27 , 19.27 
98,a pipe takes a hours to fill the tank . but because of a leakage it took 4 times of its original time . find the time taken by the leakage to empty the tank,d,physics, 50 min , 60 min , 90 min , 80 min , 70 min 
99,"jonathan can type a 50 page document in 40 minutes , susan can type it in 30 minutes , and jack can type it in 24 minutes . working together , how much time will it take them to type the same document ?",b,physics, 5 minutes , 10 minutes , 15 minutes , 18 minutes , 20 minutes 
100,"it takes 35 identical printing presses 15 hours to print 500,000 papers . how many hours would it take 25 of these printing presses to print 500,000 papers ?",c,physics, 18 , 20 , 21 , 24 , 25 
101,"two thirds of the roads from a to b are at least 5 miles long , and 3 / 4 of the roads from b to c are at least 5 miles long . if you randomly pick a road from a to b and then randomly pick a road from b to c , what is the probability that at least one of the roads you pick is at least 5 miles long ?",e,physics, 1 / 6 , 1 / 4 , 2 / 3 , 3 / 4 , 11 / 12 
102,a 270 m long train running at the speed of 120 kmph crosses another train running in opposite direction at the speed of 80 kmph in 9 seconds . what is the length of the other train ?,a,physics, 230 m , 240 m , 260 m , 320 m , 350 m 
103,"maxwell leaves his home and walks toward brad ' s house at the same time that brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is 40 kilometers , maxwell ' s walking speed is 3 km / h , and brad ' s running speed is 5 km / h . what is the distance traveled by maxwell when they meet in the middle ?",d,physics, 16 , 17 , 18 , 15 , 14 
104,"the speed at which a man can row a boat in still water is 18 kmph . if he rows downstream , where the speed of current is 3 kmph , what time will he take to cover 60 metres ?",b,physics, 16 seconds , 15.4 seconds , 26 seconds , 12 seconds , 18 seconds 
105,two trains are moving at 50 kmph and 70 kmph in opposite directions . their lengths are 170 m and 100 m respectively . the time they will take to pass each other completely is ?,b,physics, 3 sec , 8 sec , 9 sec , 5 sec , 7 sec 
106,"what is the greatest possible length which can be used to measure exactly the lengths 8 m , 4 m 20 cm and 12 m 20 cm ?",d,physics, 10 cm , 30 cm , 25 cm , 20 cm , 35 cm 
107,"a man is walking at a speed of 10 km per hour . after every kilometre , he takes rest for 5 minutes . how much time will be take to cover a distance of 5 kilometres ?",b,physics, 48 min . , 50 min . , 45 min . , 55 min . , none of these 
108,"a man started driving at a constant speed , from the site of a blast , the moment he heard the blast . he heard a second blast after a time of 30 mins and 12 seconds . if the second blast occurred exactly 30 mins after the first , how many meters was he from the site when he heard the second blast ? ( speed of sound = 330 m / s )",e,physics, 3120 , 3330 , 3540 , 3750 , 3960 
109,"a train leaves delhi at 9 a . m . at a speed of 30 kmph . another train leaves at 2 p . m . at a speed of 40 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?",c,physics, 900 km , 800 km , 600 km , 690 km , 609 km 
110,"a train 120 m long passes a man , running at 6 kmph in the direction opposite to that of the train , in 6 seconds . the speed of the train is",c,physics, 54 kmph , 60 kmph , 66 kmph , 72 kmph , 82 kmph 
111,"every day daniel drives 64 miles back from work . on sunday , daniel drove all the way back from work at a constant speed of x miles per hour . on monday , daniel drove the first 32 miles back from work at ( 2 x ) miles per hour , and the rest of the way at ( x / 2 ) miles per hour . the time it took daniel to drive back from work on monday is longer than the time it took him to drive back from work on sunday by what percent ?",b,physics, 15 % , 25 % , 35 % , 45 % , 55 % 
112,"if 40 men take 15 days to to complete a job , in how many days can 25 men finish that work ?",a,physics, 24 , 25 , 26 , 27 , 28 
113,"it takes printer a 4 more minutes more than printer b to print 40 pages . working together , the two printers can print 50 pages in 6 minutes . how long will it take printer a to print 160 pages ?",c,physics, 12 , 18 , 48 , 20 , 30 
114,find the cost of fencing around a circular field of diameter 22 m at the rate of rs . 3 a meter ?,d,physics, 288 , 132 , 772 , 207.3 , 261 
