,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,there are 10 girls and 20 boys in a classroom . what is the ratio of girls to boys ?,a,other, 1 / 2 , 1 / 3 , 1 / 5 , 10 / 30 , 2 / 5 
1,what is the number of integers from 1 to 1100 ( inclusive ) that are divisible by neither 11 nor by 35 ?,e,other, 884 , 890 , 892 , 910 , 945 
2,"in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?",e,other, 20 , 11 , 9 , 31 , 21 
3,the ratio of the arithmetic mean of two numbers to one of the numbers is 5 : 8 . what is the ratio of the smaller number to the larger number ?,d,other, 1 : 8 , 1 : 6 , 1 : 5 , 1 : 4 , 1 : 3 
4,"the salaries of a , b , and c are in the ratio of 1 : 2 : 3 . the salary of b and c together is rs . 6000 . by what percent is the salary of c more than that of a ?",b,other, 209 % , 200 % , 290 % , 600 % , 100 % 
5,"how many of the positive factors of 25 , 15 and how many common factors are there in numbers ?",b,other, 1 , 2 , 3 , 4 , 5 
6,"a certain university will select 1 of 5 candidates eligible to fill a position in the mathematics department and 2 of 8 candidates eligible to fill 2 identical positions in the computer science department . if none of the candidates is eligible for a position in both departments , how many different sets of 3 candidates are there to fill the 3 positions ?",b,other, 138 , 140 , 142 , 145 , 148 
7,"there are 2 available positions and 50 candidates , one half of whom are democrats and another half are republicans . if it was decided that the positions would be filled at random , then what is the probability e that the both positions will be taken by members of just one party ?",d,other, 1 / 25 , 12 / 49 , 1 / 4 , 24 / 49 , 1 / 2 
8,"two assembly line inspectors , smithy and glen , inspect widgets as they come off the assembly line . if smithy inspects every fifth widget , starting with the fifth , and glen inspects every third , starting with the third , how many of the 98 widgets produced in the first hour of operation are not inspected by either inspector ?",b,other, 50 , 53 , 55 , 60 , 65 
9,"in a class of 60 children , 30 % children can speak only english , 20 % hindi and english both and the rest of the children can speak only hindi . how many children can speak hindi ?",a,other, 42 , 36 , 30 , 48 , none of these 
10,"tea worth rs . 126 per kg are mixed with a third variety in the ratio 1 : 1 : 2 . if the mixture is worth rs . 163 per kg , the price of the third variety per kg will be",c,other, rs . 169.50 , rs . 1700 , rs . 185.50 , rs . 180 , none 
11,"in a certain town , the ratio of ny yankees fans to ny mets fans is 3 : 2 , and the ratio of ny mets fans to boston red sox fans is 4 : 5 . if there are 330 baseball fans in the town , each of whom is a fan of exactly one of those three teams , how many ny mets fans are there in this town ?",b,other, 72 , 88 , 95 , 120 , 135 
12,the ratio of a and b is 5 : 3 . after 2 years their ratio is 3 : 2 . what is the age of b ?,c,other, 5 , 3 , 6 , 7 , 8 
13,"if the ratio of the sum of the first 6 terms of a g . p . to the sum of the first 3 terms of the g . p . is 217 , what is the common ratio of the g . p ?",d,other, 3 , 1 / 3 , 2 , 6 , 1 / 6 
14,two vessels a and b contain spirit and water in the ratio 5 : 2 and 7 : 6 respectively . find the ratio in which these mixtures be mixed to obtain a new mixture in vessel c containing spirit and water in the ratio 8 : 5 ?,d,other, 3 : 4 , 4 : 3 , 9 : 7 , 7 : 9 , 8 : 1 
15,a 50 kg metal bar made of alloy of tin and silver lost 5 kg of its weight in the water . 10 kg of tin loses 1.375 kg in the water ; 5 kg of silver loses 0.375 kg . what is the ratio of tin to silver in the bar ?,e,other, 1 / 4 , 2 / 5 , 1 / 2 , 3 / 5 , 2 / 3 
16,"6 years ago , the ratio of the ages of vimal and saroj was 6 : 5 . 4 years hence , the ratio of their ages will be 11 : 10 . what is saroj ' s age at present ?",c,other, 12 , 14 , 16 , 18 , 15 
17,"ratio between rahul and deepak is 5 : 2 , after 6 years rahul age will be 26 years . what is deepak present age .",c,other, 14 , 15 , 8 , 22 , 24 
