,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,the banker ' s gain of a certain sum due 3 years hence at 10 % per annum is rs . 36 . what is the present worth ?,a,gain, rs . 400 , rs . 300 , rs . 500 , rs . 350 , none of these 
1,120 is what percent of 50 ?,b,gain, 5 % , 240 % , 50 % , 2 % , 500 % 
2,"an empty fuel tank with a capacity of 218 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?",a,gain, 122 , 150 , 100 , 80 , 50 
3,"an article is bought for rs . 823 and sold for rs . 1000 , find the gain percent ?",b,gain, 21.4 % , 21.5 % , 21.6 % , 21.7 % , 21.8 % 
4,j is 25 % less than p and 20 % less than t . t is q % less than p . what is the value of q ?,d,gain, 93.5 , 90 , 6.75 , 6.25 , 2 
5,"arun makes a popular brand of ice cream in a rectangular shaped bar 6 cm long , 5 cm wide and 2 cm thick . to cut costs , the company had decided to reduce the volume of the bar by 19 % . the thickness will remain same , but the length and width will be decreased by some percentage . the new width will be ,",a,gain, 33 , 87 , 99 , 367 , 72 
6,the profit obtained by selling an article for rs . 57 is the same as the loss obtained by selling it for rs . 43 . what is the cost price of the article ?,b,gain, rs . 40 , rs . 50 , rs . 49 , rs . 59 , none of these 
7,"in 2008 , the profits of company n were 8 percent of revenues . in 2009 , the revenues of company n fell by 20 percent , but profits were 15 percent of revenues . the profits in 2009 were what percent of the profits in 2008 ?",a,gain, 150 % , 105 % , 120 % , 124.2 % , 138 % 
8,if the cost price is 96 % of sp then what is the profit %,d,gain, 4.07 % , 4 % , 4.7 % , 4.17 % , 4.27 % 
9,a person lent a certain sum of money at 4 % per annum at simple interest and in 8 years the interest amounted to rs . 306 less than the sum lent . what was the sum lent ?,e,gain, 228 , 278 , 289 , 500 , 450 
10,"because he ’ s taxed by his home planet , mork pays a tax rate of 40 % on his income , while mindy pays a rate of only 30 % on hers . if mindy earned 3 times as much as mork did , what was their combined tax rate ?",a,gain, 32.5 % , 34 % , 35 % , 36 % , 37.5 % 
11,"a watch was sold at a loss of 5 % . if it was sold for rs . 500 more , there would have been a gain of 5 % . what is the cost price ?",d,gain, 1000 , 2998 , 2778 , 2788 , 2991 
12,how many ounces of a 60 % salt solution must be added to 30 ounces of a 20 percent salt solution so that the resulting mixture is 40 % salt ?,b,gain, 16.67 , 30 , 50 , 60.33 , 70 
13,"if 20 % of a is the same as 30 % of b , then a : b is :",d,gain, 5 : 4 , 5 : 3 , 4 : 3 , 3 : 2 , 1 : 3 
14,"a certain college ' s enrollment at the beginning of 1992 was 20 percent greater than it was at the beginning of 1991 , and its enrollment at the beginning of 1993 was 5 percent greater than it was at the beginning of 1992 . the college ' s enrollment at the beginning of 1993 was what percent greater than its enrollment at the beginning of 1991 ?",b,gain, 17.5 % , 26 % , 30 % , 35 % , 38 % 
15,"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer ’ s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer ’ s suggested retail price o f $ 40.00 ?",c,gain, $ 10.00 , $ 11.20 , $ 22.40 , $ 16.00 , $ 18.00 
16,"kanul spent $ 3000 in buying raw materials , $ 1000 in buying machinery and 30 % of the total amount he had as cash with him . what was the total amount ?",c,gain, $ 5825.16 , $ 5725.26 , $ 5714.28 , $ 5912.52 , $ 5614.46 
17,"a circle graph shows how the megatech corporation allocates its research and development budget : 12 % microphotonics ; 24 % home electronics ; 15 % food additives ; 29 % genetically modified microorganisms ; 8 % industrial lubricants ; and the remainder for basic astrophysics . if the arc of each sector of the graph is proportional to the percentage of the budget it represents , how many degrees of the circle are used to represent basic astrophysics research ?",a,gain, 43 ° , 10 ° , 18 ° , 36 ° , 52 ° 
18,"how much interest will $ 10,000 earn in 3 months at an annual rate of 6 % ?",b,gain, $ 250 , $ 150 , $ 450 , $ 550 , $ 650 
19,what is 15 percent of 64 ?,c,gain, 7.2 , 8.4 , 9.6 , 10.4 , 11.8 
20,"if the annual increase in the population of a town is 10 % and the present number of people is 10000 , what will the population be in 2 years ?",a,gain, 12100 , 15240 , 12456 , 11452 , 10002 
21,"a certain company ’ s profit in 1996 was 15 percent greater than its profit in 1995 , and its profit in 1997 was 35 percent greater than its profit in 1996 . the company ’ s profit in 1997 was what percent greater than its profit in 1995 ?",e,gain, 5 % , 18 % , 33 % , 35 % , 55.25 % 
22,"a , b and c started a partnership business by investing rs . 12000 , rs . 16000 , rs . 20000 respectively . at the end of the year , the profit were distributed among them . if c ' s share of profit is 36000 , what is the total profit ?",c,gain, 70000 , 60000 , 86400 , 90000 , 50000 
23,"sarah operated her lemonade stand monday through friday over a two week period and made a total profit of 450 dollars . on hot days she sold cups of lemonade for a price that was 25 percent higher than the regular days . each cup she sold had a total cost of 75 cents and sarah did not incur any other costs . if every day she sold exactly 32 cups and 3 of the days were hot , then what was the price of 1 cup on a hot day ?",d,gain, $ 1.50 , $ 1.88 , $ 2.25 , $ 2.50 , $ 3.25 
24,sonika deposited rs . 8000 which amounted to rs . 11200 after 3 years at simple interest . had the interest been 2 % more . she would get how much ?,c,gain, 9680 , 2277 , 11680 , 12068 , 1212 
25,"a manufacturer sells a pair of glasses to a wholesale dealer at a profit of 18 % . the wholesaler sells the same to retailer at a profit of 20 % . the retailer in turn sells them to a customer for rs . 30.09 , there by earning a profit of 25 % . the cost price for the manufacturer is :",c,gain, rs . 15 , rs . 16 , rs . 17 , rs . 18 , rs . 19 
26,"how long will a boy take to run round a square field of side 40 meters , if he runs at the rate of 12 km / hr ?",b,gain, 52 sec , 48 sec , 60 sec , 25 sec , 39 sec 
27,a fair price shopkeeper takes 10 % profit on his goods . he lost 40 % goods during theft . his loss percent is :,c,gain, 72 % , 42 % , 34 % , 12 % , 22 % 
28,25 % of a number is more than 20 % of 650 by 190 . find the number ?,e,gain, 288 , 278 , 800 , 267 , 1280 
29,"if the compound interest on a certain sum of money for 2 years at 10 % per annum be rs . 993 , what would be the simple interest ?",a,gain, rs . 600 , rs . 890 , rs . 895 , rs . 900 , none 
30,"a and b invests rs . 8000 and rs . 9000 in a business . after 4 months , a withdraws half of his capital and 2 months later , b withdraws one - third of his capital . in what ratio should they share the profits at the end of the year ?",a,gain, 32 : 45 , 32 : 47 , 32 : 45 , 32 : 41 , 32 : 42 
31,a can complete a certain job in 9 days . b is 80 % more efficient than a . in how many days can b complete the same job ?,a,gain, 5 , 6.25 , 7 , 7.5 , 4.8 
32,in what time a sum of money double itself at 2 % per annum simple interest ?,e,gain, 60 % , 58 % , 55 % , 40 % , 50 % 
33,"a reduction of 25 % in the price of oil enables a house wife to obtain 5 kgs more for rs . 1300 , what is the reduced price for kg ?",b,gain, s . 40 , s . 65 , s . 49 , s . 41 , s . 42 
34,a sum amounts to rs . 5292 in 2 years at the rate of 5 % p . a . if interest was compounded yearly then what was the principal ?,d,gain, s . 4000 , s . 5000 , s . 4500 , s . 4800 , s . 5800 
35,"a sells a cricket bat to b at a profit of 20 % . b sells it to c at a profit of 25 % . if c pays $ 234 for it , the cost price of the cricket bat for a is :",a,gain, 156 , 120 , 130 , 160 , 210 
36,"in town x , 64 percent of the population are employed , and 49 percent of the population are employed males . what percent of the employed people in town x are females ?",b,gain, 16 % , 20 % , 32 % , 40 % , 52 % 
37,a lent rs . 5000 to b for 2 years and rs . 3000 to c for 4 years on simple interest at the same rate of interest and received rs . 2640 in all from both of them as interest . the rate of interest per annum is ?,b,gain, 16 % , 12 % , 74 % , 10 % , 45 % 
38,"in a certain boys camp , 20 % of the total boys are from school a and 30 % of those study science . if there are 56 boys in the camp that are from school a but do not study science then what is the total number of boys in the camp ?",b,gain, 70 , 400 , 150 , 35 , 350 
39,"during a sale of 20 % on everything in a store , a kid is successful in convincing the store manager to give him 20 candies for the discounted price of 14 candies . the store still makes a profit of 18 % on this sale . what is the mark up percentage on each candy ?",d,gain, 100 % , 80 % , 75 % , 66 + 2 / 3 % , 55 % 
40,"a trader mixes 80 kg of tea at 15 per kg with 20 kg of tea at cost price of 20 per kg . in order to earn a profit of 35 % , what should be the sale price of the mixed tea ?",b,gain, 23.75 , 21.6 , 20 , 19.2 , none of these 
41,a person bought 129 glass bowls at a rate of rs . 11 per bowl . he sold 118 of them at rs . 15 and the remaining broke . what is the percentage gain for a ?,b,gain, 40 , 2900 / 129 , 2430 / 70 , 2791 / 11 , 2719 / 8 
42,machine a and machine b are each used to manufacture 330 sprockets . it takes machine a 10 hours longer to produce 330 sprockets than machine b . machine b produces 10 percent more sprockets per hour than machine a . how many sprockets per hour does machine a produces ?,e,gain, 5 , 4 , 6 , 8 , 3 
43,jim is able to sell a hand - carved statue for $ 660 which was a 20 % profit over his cost . how much did the statue originally cost him ?,c,gain, $ 496.30 , $ 512.40 , $ 550 , $ 574.90 , $ 588.20 
44,"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 52000 , then the share of b is ?",b,gain, 2888 , 24000 , 27777 , 29997 , 27712 
45,"a dishonest dealer professes to sell goods at the cost price but uses a weight of 600 grams per kg , what is his percent ?",b,gain, 28 % , 66.7 % , 55 % , 28 % , 55 % 
46,80 is what percent of 160 ?,d,gain, 35 % , 40 % , 45 % , 50 % , 55 % 
47,"a retail appliance store priced a video recorder at 20 percent above the wholesale cost of $ 200 . if a store employee applied the 30 percent employee discount to the retail price to buy the recorder , how much did the employee pay for the recorder ?",e,gain, $ 198 , $ 216 , $ 220 , $ 230 , $ 168 
48,what sum of money will produce rs . 90 as simple interest in 4 years at 3 1 / 2 percent ?,d,gain, 263 , 500 , 367 , 642.9 , 339 
49,a and b enter into a partnership . a contributed rs . 5000 for 8 months and b rs . 6000 for 5 months . find a ' s share in a total profit of rs . 8400 .,a,gain, rs . 4800 , rs . 2400 , rs . 3600 , rs . 5600 , none of these 
50,"company a imported 10,000 widgets made of either brass or aluminum . the widgets are painted blue , red or green . if 20 percent of the widgets are made of brass and of those 20 percent are painted green and 40 percent are painted red how many brass widgets painted blue were imported ?",c,gain, 420 , 840 , 800 , 1680 , 2100 
51,"there are 50 students in a class . if 12 % are absent on a particular day , find the number of students present in the class .",e,gain, 43 , 36 , 28 , 129 , 44 
52,an inspector rejects 10 % of the meters as defective . how many will he examine to reject 12 ?,b,gain, a ) 100 , b ) 120 , c ) 250 , d ) 200 , e ) 160 
53,"a survey was sent to 60 customers , 7 of whom responded . then the survey was redesigned and sent to another 72 customers , 9 of whom responded . by approximately what percent did the response rate increase from the original survey to the redesigned survey ?",b,gain, 2 % , 7 % , 14 % , 28 % , 63 % 
54,"a fruit seller had some apples . he sells 60 % apples and still has 300 apples . originally , he had :",c,gain, 656 apples , 700 apples , 750 apples , 780 apples , 800 apples 
55,a candidate got 35 % of the votes and lost to the rival by 1650 votes . how many votes were cast ?,b,gain, 5000 , 5500 , 6000 , 6500 , 7000 
56,50 percent of andrea ' s living room floor is covered by a carpet that is 4 feet by 9 feet . what is the area of her living room floor ?,d,gain, 14.4 , 180 / 7 , 50.4 , 64.8 , 90 
57,a bag marked at $ 80 is sold for $ 68 . the rate of discount is ?,b,gain, 10 % , 15 % , 20 % , 25 % , 30 % 
58,the cost price of 7 articles is equal to the selling price of 5 articles . what is the profit percent ?,d,gain, 10 % , 20 % , 30 % , 40 % , 50 % 
59,at what price must an book costing $ 47.50 be marked in order that after deducting 5 % from the list price . it may be sold at a profit of 25 % on the cost price ?,c,gain, 72.5 , 55.5 , 62.5 , 82.5 , 60.5 
60,one type of liquid contains 20 % of water and the second type of liquid contains 35 % of water . a glass is filled with 10 parts of 1 st liquid and 4 parts of 2 nd liquid . the percentage of water in the new mixture in the glass is ?,c,gain, 22.15 % , 23.5 % , 24.3 % , 25 % , 29.6 % 
61,the present population of a town is 1000 . population increase rate is 25 % p . a . find the population of town before 1 years ?,a,gain, 800 , 1500 , 1000 , 750 , 500 
62,"john and david can finish a job together in 1 hours . if john can do the job by himself in 2 hours , what percent of the job does david do ?",c,gain, 40 % , 45 % , 50 % , 55 % , 60 % 
63,the simple interest and the true discount on a certain sum for a given time and at a given rate are rs . 85 and rs . 70 respectively . the sum is :,e,gain, 1360 , 1450 , 1600 , 1800 , none 
64,a shopkeeper sells 10 % of his stock at 20 % profit ans sells the remaining at a loss of 5 % . he incurred an overall loss of rs . 400 . find the total worth of the stock ?,b,gain, 20000 , 16000 , 18000 , 17000 , 15000 
65,"by selling an article at rs . 250 , a profit of 25 % is made . find its cost price ?",e,gain, s . 486 , s . 455 , s . 220 , s . 480 , s . 200 
66,4 guys buy same cellphones cost them 250 each . two guy have 25 % of for his first cellphone . what is the total cost all of them pay to seller .,c,gain, 1000 , 850 , 875 , 775 , 750 
67,there were two candidates in an election . winner candidate received 62 % of votes and won the election by 288 votes . find the number of votes casted to the winning candidate ?,b,gain, 456 , 744 , 912 , 1200 , 1400 
68,"a shopkeeper forced to sell at cost price , uses a 850 grams weight for a kilogram . what is his gain percent ?",a,gain, 17.65 % , 9 % , 11.11 % , 12 % , none of these 
69,"the price of a coat in a certain store is $ 500 . if the price of the coat is to be reduced by $ 200 , by what percent is the price to be reduced ?",e,gain, 10 % , 15 % , 20 % , 25 % , 40 % 
70,"when a mobile is sold for rs . 24000 , the owner loses 40 % . at what price must that mobile be sold in order to gain 40 % ?",b,gain, 54, 56, 58, 60, 62
