,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,average age of students of an adult school is 40 years . 120 new students whose average age is 32 years joined the school . as a result the average age is decreased by 4 years . find the number of students of the school after joining of the new students .,d,general, 1200 , 120 , 360 , 240 , none of these 
1,sophia finished 2 / 3 of a book . she calculated that she finished 90 more pages than she has yet to read . how long is her book ?,b,general, 229 , 270 , 877 , 266 , 281 
2,"a student was asked to find 4 / 5 of a number . but the student divided the number by 4 / 5 , thus the student got 36 more than the correct answer . find the number .",c,general, 60 , 70 , 80 , 90 , 100 
3,the average weight of 8 person ' s increases by 1.5 kg when a new person comes in place of one of them weighing 75 kg . what might be the weight of the new person ?,a,general, 81 kg , 85 kg , 90 kg , 100 kg , 110 kg 
4,the average of 15 result is 60 . average of the first 10 of them is 10 and that of the last 10 is 80 . find the 8 th result ?,b,general, 35 , 200 , 150 , 250 , 300 
5,"a salesman â € ™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 500 more than that by the previous schema , his sales were worth ?",c,general, s . 14, s . 12, s . 16, s . 40, s . 50
6,a vessel of capacity 2 litre has 30 % of alcohol and another vessel of capacity 6 litre had 40 % alcohol . the total liquid of 8 litre was poured out in a vessel of capacity 10 litre and thus the rest part of the vessel was filled with the water . what is the new concentration of mixture ?,a,general, 30 % . , 71 % . , 49 % . , 29 % . , 51 % . 
7,the total of 324 of 20 paise and 25 paise make a sum of rs . 70 . the no of 20 paise coins is,c,general, 238 , 277 , 220 , 200 , 288 
8,"in 1970 there were 8,902 women stockbrokers in the united states . by 1978 the number had increased to 18,947 . approximately what was the percent increase ?",b,general, 45 % , 113 % , 145 % , 150 % , 225 % 
9,"mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.1 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?",a,general, $ 1.62 , $ 1.85 , $ 2.00 , $ 2.15 , $ 2.30 
10,"in the above number , a and b represent the tens and units digits , respectively . if the above number is divisible by 45 , what is the greatest possible value of b x a ?",e,general, 0 , 5 , 10 , 15 , 20 
