,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
0,"a gardener is going to plant 2 red rosebushes and 2 white rosebushes . if the gardener is to select each of the bushes at random , one at a time , and plant them in a row , what is the probability that the 2 rosebushes in the middle of the row will be the red rosebushes ?",b,probability, 1 / 12 , 1 / 6 , 1 / 5 , 1 / 3 , ½ 
1,in a throw of dice what is the probability of ge æ « ng number greater than 3,a,probability, 1 / 2 , 1 / 3 , 1 / 5 , 1 / 6 , none of these 
2,"given a bag with 2 red balls and 3 yellow balls , you randomly select one of them , in order . if the second ball you take is yellow , what is the probability that the first one was also yellow ?",a,probability, 1 / 2 , 1 / 5 , 3 / 4 , 1 / 3 , 3 / 5 
3,"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability that out of the two , one is white and one is blue ?",d,probability, 15 / 56 , 41 / 56 , 13 / 28 , 15 / 28 , 5 / 14 
4,in how many ways can 7 boys be seated in a circular order ?,c,probability, 110 , 230 , 720 , 420 , 680 
5,a coin is tossed 4 times . what is the probability of getting exactly 3 heads ?,b,probability, 1 / 2 , 1 / 4 , 1 / 8 , 1 / 16 , 3 / 16 
6,a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 5 or 12 ?,d,probability, 17 / 30 , 2 / 5 , 7 / 15 , 4 / 15 , 11 / 30 
7,"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is -",d,probability, 8 / 13 , 6 / 13 , 3 / 13 , 4 / 13 , 1 / 13 
8,"a certain junior class has 1000 students and a certain senior class has 900 students . among these students , there are 60 siblings pairs each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected will be a sibling pair ?",b,probability, 3 / 40000 , 2 / 30000 , 9 / 2000 , 1 / 60 , 1 / 15 
9,"what is the probability that the sum of two dice will yield a 9 , and then when both are thrown again , their sum will again yield a 9 ? assume that each die has 8 sides with faces numbered 1 to 8 .",a,probability, 1 / 64 , 1 / 36 , 1 / 12 , 1 / 6 , 1 / 3 
10,4 dice are thrown simultaneously on the board . find the probability show the same face .,c,probability, 1 / 213 , 1 / 215 , 1 / 216 , 2 / 113 , 3 / 114 
11,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a jack , queen , or king is drawn ?",d,probability, 1 / 4 , 1 / 12 , 2 / 13 , 3 / 13 , 3 / 26 
12,in a throw of dice what is the probability of ge æ « ng number greater than 1,e,probability, 1 / 2 , 1 / 3 , 1 / 5 , 5 / 6 , none of these 
13,"there are 18 balls in a jar . you take out 3 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1 / 5 . how many blue balls were there in the beginning ?",e,probability, 12 , 9 , 8 , 7 , 6 
14,"the maitre ' d at an expensive manhattan restaurant has noticed that 60 % of the couples order dessert and coffee . however , 20 % of the couples who order dessert do n ' t order coffee . what is the probability w that the next couple the maitre ' d seats will not order dessert ?",b,probability, 20 % , 25 % , 40 % , 60 % , 75 % 
15,"if two dice are thrown together , the probability of getting an even number on one die and an odd number on the other is - .",b,probability, 1 / 3 , 1 / 2 , 7 / 8 , 3 / 4 , 7 / 3 
16,"a bag contains 3 red , 6 yellow and 8 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ?",d,probability, 2 / 7 , 3 / 5 , 3 / 11 , 18 / 85 , 7 / 16 
17,"an urn contains 5 red , 6 blue and 8 green balls . 3 balls are randomly selected from the urn , find the probability that the drawn ball are 2 blue and 1 red ?",a,probability, 25 / 323 , 21 / 969 , 28 / 989 , 74 / 879 , 23 / 589 
18,"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 6 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?",a,probability, 116 , 146 , 152 , 162 , 170 
19,"how many different ways can 2 students be seated in a row of 6 desks , so that there is always at least one empty desk between the students ?",d,probability, 2 , 3 , 4 , 20 , 12 
20,"a jar contains only red , yellow , and orange marbles . if there are 3 red , 6 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?",e,probability, 1 / 60 , 1 / 45 , 2 / 45 , 3 / 22 , 5 / 22 
21,"if 2 cards are selected at random from the deck of 52 cards then what is the probability of one of the selected cards will be king and other will be 10 ? a deck of cards has a total of 52 cards , consisting of 4 suits ; ( spades ( black ) , hearts ( red ) , diamond ( red ) s , and clubs ( black ) ) ; and 13 cards including 1 king , 1 queen and 1 jack in each suit",b,probability, 8 / 2652 , 18 / 2652 , 1 / 2652 , 12 / 2652 , 16 / 2652 
22,a card is drawn from a pack of 52 cards . the probability of getting a queen of spade or an ace of club is :,b,probability, 1 / 13 , 1 / 26 , 2 / 13 , 1 / 52 , 1 / 48 
23,"when 3 fair coins are tossed together , what is the probability of getting 2 tails ?",a,probability, 1 / 2 , 1 / 3 , 1 / 4 , 3 / 4 , 2 / 3 
24,"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability x that out of the two , one is white and one is blue ?",d,probability, 15 / 56 , 41 / 56 , 13 / 28 , 15 / 28 , 5 / 14 
25,"if 4 people are selected from a group of 6 married couples , what is the probability that none of them would be married to each other ?",d,probability, 1 / 33 , 2 / 33 , 1 / 3 , 16 / 33 , 11 / 12 
26,in a throw of a coin find the probability of getting a tail ?,a,probability, 1 / 2 , 1 / 3 , 1 / 4 , 2 / 5 , 2 / 7 
27,in how many ways can 5 people be arranged in a circle ?,c,probability, 2 ! , 5 ! , 4 ! , 3 ! , 6 ! 
28,"a certain club has 10 members , including parry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that parry will be either the member chose to be secretary or the member chose to be treasurer ?",e,probability, 1 / 720 , 1 / 80 , 1 / 10 , 1 / 9 , 1 / 5 
29,"there is a 30 % chance sandy will visit china this year , while there is a 60 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?",c,probability, 42 % , 48 % , 54 % , 60 % , 66 % 
30,"kim has 8 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 16 shoes , what is the probability that she will select 2 shoes of the same color ?",e,probability, 2 / 5 , 1 / 5 , 1 / 9 , 1 / 10 , 1 / 15 
31,a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 2 or 19 ?,d,probability, 17 / 30 , 2 / 5 , 7 / 15 , 8 / 15 , 11 / 30 
32,"a bag contains 20 red jellybeans and 20 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?",d,probability, 9 / 100 , 2 / 19 , 1 / 8 , 3 / 20 , 3 / 10 
33,"kim has 9 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 18 shoes , what is the probability that she will select 2 shoes of the same color ?",d,probability, 2 / 5 , 11 / 5 , 1 / 9 , 1 / 17 , 1 / 5 
34,"a bag contains 2 white marbles and 2 black marbles . if each of 2 girls and 2 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?",c,probability, 1 / 35 , 1 / 10 , 1 / 3 , 1 / 4 , 1 / 5 
35,the main line train starts at 5.00 am and the harbor line train starts at 5.02 am . each train has the frequency of 10 minutes . if a guy goes in the morning at a random time what is the probability of he getting main line train ?,e,probability, . 5 , 0.6 , 0.4 , 0.7 , 0.8 
36,what is the probability of getting sum of 10 on rolling three dices ?,b,probability, 28 / 216 , 27 / 216 , 29 / 216 , 26 / 216 , 25 / 216 
37,find the probability that a leap year selected at random will not have 53 sundays or mondays .,c,probability, 6 / 7 , 5 / 7 , 4 / 7 , 3 / 7 , 2 / 7 
38,what is the probability of drawn an ace or a space or both from a dew of cards .,c,probability, 14 / 52 , 15 / 52 , 16 / 52 , 17 / 52 , 18 / 52 
39,two unbiased coins are tossed . find the probability of getting two heads ?,c,probability, 1 / 2 , 1 / 3 , 1 / 4 , 2 / 3 , 3 / 5 
40,"kim has 7 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 14 shoes , what is the probability that she will select 2 shoes of the same color ?",a,probability, 1 / 13 , 1 / 15 , 11 / 9 , 1 / 10 , 1 / 25 
41,"a certain junior class has 1,000 students and a certain senior class has 400 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?",a,probability, 3 / 20, 1 / 3, 9 / 2, 1 / 60 , 1 / 15 
42,"three unbiased coins are tossed . what is the probability of getting 1 heads , 1 tail ?",e,probability, 3 / 4 , 1 / 4 , 3 / 8 , 7 / 8 , 2 / 8 
43,"there are 7 books on a shelf , of which 2 are paperbacks and 5 are hardbacks . how many possible selections of 4 books from this shelf include at least one paperback ?",a,probability, a ) 30 , b ) 45 , c ) 50 , d ) 55 , e ) 60 
44,there are 4 red shoes & 6 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,d,probability, 1 / 13 , 1 / 14 , 1 / 2 , 2 / 15 , 2 / 16 
45,"from a group of 5 boys and 5 girls , 6 children are to be randomly selected . what is the probability that 3 boys and 3 girls will be selected ?",d,probability, 4 / 15 , 6 / 17 , 8 / 19 , 10 / 21 , 12 / 23 
46,a fair coin is tossed 3 times . what is the probability of getting at least 2 tails ?,c,probability, 3 / 4 , 3 / 2 , 1 / 2 , 3 / 4 , 1 / 4 
47,"a box contains 4 red balls and 4 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?",e,probability, 1 / 4 , 1 / 2 , 1 / 2 , 5 / 8 , 2 
48,"a jar contains 3 black , 3 white and 1 green balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?",d,probability, 2 / 7 , 5 / 7 , 4 / 7 , 3 / 7 , 1 / 2 
49,"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 8 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?",a,probability, 134 , 146 , 152 , 162 , 170 
50,in 15 year ’ s time the combined age of my 4 brothers will be 107 . what will it be in 6 year ’ s time ?,c,probability, 65 , 87 , 71 , 60 , 66 
